year,neighborhoodName,density
2015,Baró de Viver,114
2015,Can Baró,243
2015,Can Peguera,192
2015,Canyelles,87
2015,Ciutat Meridiana,294
2015,Diagonal Mar i el Front Marítim del Poblenou,110
2015,Horta,92
2015,Hostafrancs,395
2015,Montbau,25
2015,Navas,529
2015,Pedralbes,44
2015,Porta,332
2015,Provençals del Poblenou,196
2015,Sant Andreu,313
2015,Sant Antoni,484
2015,Sant Genís dels Agudells,44
2015,Sant Gervasi - Galvany,287
2015,Sant Gervasi - la Bonanova,117
2015,Sant Martí de Provençals,356
2015,"Sant Pere, Santa Caterina i la Ribera",209
2015,Sants,399
2015,Sants - Badal,601
2015,Sarrià,83
2015,Torre Baró,17
2015,Vallbona,23
2015,Vallcarca i els Penitents,130
2015,"Vallvidrera, el Tibidabo i les Planes",4
2015,Verdun,539
2015,Vilapicina i la Torre Llobeta,462
2015,el Baix Guinardó,465
2015,el Barri Gòtic,265
2015,el Besòs i el Maresme,212
2015,el Bon Pastor,73
2015,el Camp d'en Grassot i Gràcia Nova,545
2015,el Camp de l'Arpa del Clot,528
2015,el Carmel,346
2015,el Clot,388
2015,el Coll,215
2015,el Congrés i els Indians,360
2015,el Fort Pienc,360
2015,el Guinardó,287
2015,el Parc i la Llacuna del Poblenou,142
2015,el Poble Sec,88
2015,el Poblenou,219
2015,el Putxet i el Farró,357
2015,el Raval,437
2015,el Turó de la Peira,458
2015,l'Antiga Esquerra de l'Eixample,350
2015,la Barceloneta,128
2015,la Bordeta,342
2015,la Clota,40
2015,la Dreta de l'Eixample,209
2015,la Font d'en Fargues,145
2015,la Font de la Guatlla,349
2015,la Guineueta,252
2015,la Marina de Port,247
2015,la Marina del Prat Vermell,1
2015,la Maternitat i Sant Ramon,125
2015,la Nova Esquerra de l'Eixample,437
2015,la Prosperitat,457
2015,la Sagrada Família,501
2015,la Sagrera,300
2015,la Salut,208
2015,la Teixonera,353
2015,la Trinitat Nova,133
2015,la Trinitat Vella,130
2015,la Vall d'Hebron,79
2015,la Verneda i la Pau,255
2015,la Vila Olímpica del Poblenou,101
2015,la Vila de Gràcia,385
2015,les Corts,331
2015,les Roquetes,255
2015,les Tres Torres,211
2016,Baró de Viver,114
2016,Can Baró,243
2016,Can Peguera,192
2016,Canyelles,87
2016,Ciutat Meridiana,294
2016,Diagonal Mar i el Front Marítim del Poblenou,110
2016,Horta,92
2016,Hostafrancs,395
2016,Montbau,25
2016,Navas,529
2016,Pedralbes,44
2016,Porta,332
2016,Provençals del Poblenou,196
2016,Sant Andreu,313
2016,Sant Antoni,484
2016,Sant Genís dels Agudells,44
2016,Sant Gervasi - Galvany,287
2016,Sant Gervasi - la Bonanova,117
2016,Sant Martí de Provençals,356
2016,"Sant Pere, Santa Caterina i la Ribera",209
2016,Sants,399
2016,Sants - Badal,601
2016,Sarrià,83
2016,Torre Baró,17
2016,Vallbona,23
2016,Vallcarca i els Penitents,130
2016,"Vallvidrera, el Tibidabo i les Planes",4
2016,Verdun,539
2016,Vilapicina i la Torre Llobeta,462
2016,el Baix Guinardó,465
2016,el Barri Gòtic,265
2016,el Besòs i el Maresme,212
2016,el Bon Pastor,73
2016,el Camp d'en Grassot i Gràcia Nova,545
2016,el Camp de l'Arpa del Clot,528
2016,el Carmel,346
2016,el Clot,388
2016,el Coll,215
2016,el Congrés i els Indians,360
2016,el Fort Pienc,360
2016,el Guinardó,287
2016,el Parc i la Llacuna del Poblenou,142
2016,el Poble Sec,88
2016,el Poblenou,219
2016,el Putxet i el Farró,357
2016,el Raval,437
2016,el Turó de la Peira,458
2016,l'Antiga Esquerra de l'Eixample,350
2016,la Barceloneta,128
2016,la Bordeta,342
2016,la Clota,40
2016,la Dreta de l'Eixample,209
2016,la Font d'en Fargues,145
2016,la Font de la Guatlla,349
2016,la Guineueta,252
2016,la Marina de Port,247
2016,la Marina del Prat Vermell,1
2016,la Maternitat i Sant Ramon,125
2016,la Nova Esquerra de l'Eixample,437
2016,la Prosperitat,457
2016,la Sagrada Família,501
2016,la Sagrera,300
2016,la Salut,208
2016,la Teixonera,353
2016,la Trinitat Nova,133
2016,la Trinitat Vella,130
2016,la Vall d'Hebron,79
2016,la Verneda i la Pau,255
2016,la Vila Olímpica del Poblenou,101
2016,la Vila de Gràcia,385
2016,les Corts,331
2016,les Roquetes,255
2016,les Tres Torres,211
2017,Baró de Viver,110
2017,Can Baró,234
2017,Can Peguera,190
2017,Canyelles,87
2017,Ciutat Meridiana,291
2017,Diagonal Mar i el Front Marítim del Poblenou,110
2017,Horta,87
2017,Hostafrancs,388
2017,Montbau,25
2017,Navas,523
2017,Pedralbes,45
2017,Porta,297
2017,Provençals del Poblenou,185
2017,Sant Andreu,311
2017,Sant Antoni,479
2017,Sant Genís dels Agudells,40
2017,Sant Gervasi - Galvany,287
2017,Sant Gervasi - la Bonanova,115
2017,Sant Martí de Provençals,351
2017,"Sant Pere, Santa Caterina i la Ribera",204
2017,Sants,375
2017,Sants - Badal,584
2017,Sarrià,82
2017,Torre Baró,16
2017,Vallbona,23
2017,Vallcarca i els Penitents,130
2017,"Vallvidrera, el Tibidabo i les Planes",4
2017,Verdun,520
2017,Vilapicina i la Torre Llobeta,451
2017,el Baix Guinardó,459
2017,el Barri Gòtic,191
2017,el Besòs i el Maresme,181
2017,el Bon Pastor,67
2017,el Camp d'en Grassot i Gràcia Nova,529
2017,el Camp de l'Arpa del Clot,515
2017,el Carmel,335
2017,el Clot,389
2017,el Coll,207
2017,el Congrés i els Indians,347
2017,el Fort Pienc,345
2017,el Guinardó,279
2017,el Parc i la Llacuna del Poblenou,136
2017,el Poble Sec,87
2017,el Poblenou,219
2017,el Putxet i el Farró,348
