index,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent
0,Sant Andreu,2015,9,Baró de Viver,Female,65,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,101,64.36
1,Sant Andreu,2015,9,Baró de Viver,Male,36,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,101,35.64
2,Horta-Guinardó,2015,7,Can Baró,Female,133,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,261,50.96
3,Horta-Guinardó,2015,7,Can Baró,Male,128,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,261,49.04
4,Nou Barris,2015,8,Can Peguera,Female,27,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,53,50.94
5,Nou Barris,2015,8,Can Peguera,Male,26,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,53,49.06
6,Nou Barris,2015,8,Canyelles,Female,89,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,161,55.28
7,Nou Barris,2015,8,Canyelles,Male,72,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,161,44.72
8,Nou Barris,2015,8,Ciutat Meridiana,Female,262,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,548,47.81
9,Nou Barris,2015,8,Ciutat Meridiana,Male,286,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,548,52.19
10,Sant Martí,2015,10,Diagonal Mar i el Front Marítim del Poblenou,Female,216,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,457,47.26
11,Sant Martí,2015,10,Diagonal Mar i el Front Marítim del Poblenou,Male,241,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,457,52.74
12,Horta-Guinardó,2015,7,Horta,Female,293,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,612,47.88
13,Horta-Guinardó,2015,7,Horta,Male,319,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,612,52.12
14,Sants-Montjuïc,2015,3,Hostafrancs,Female,324,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,680,47.65
15,Sants-Montjuïc,2015,3,Hostafrancs,Male,356,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,680,52.35
16,Horta-Guinardó,2015,7,Montbau,Female,60,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,121,49.59
17,Horta-Guinardó,2015,7,Montbau,Male,61,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,121,50.41
18,Sant Andreu,2015,9,Navas,Female,320,41.43505454638585,2.1933091722750544,41.418000357719286,2.18594837935314,639,50.08
19,Sant Andreu,2015,9,Navas,Male,319,41.43505454638585,2.1933091722750544,41.418000357719286,2.18594837935314,639,49.92
20,Les Corts,2015,4,Pedralbes,Female,193,41.386969710556954,2.1182139026232667,41.39103220541373,2.110191000394158,401,48.13
21,Les Corts,2015,4,Pedralbes,Male,208,41.386969710556954,2.1182139026232667,41.39103220541373,2.110191000394158,401,51.87
22,Nou Barris,2015,8,Porta,Female,312,41.44624399686965,2.175060174739923,41.43486708443896,2.1787852978448257,614,50.81
23,Nou Barris,2015,8,Porta,Male,302,41.44624399686965,2.175060174739923,41.43486708443896,2.1787852978448257,614,49.19
24,Sant Martí,2015,10,Provençals del Poblenou,Female,269,41.407613151742986,2.2012214191471715,41.41112317574039,2.2026296597676445,570,47.19
25,Sant Martí,2015,10,Provençals del Poblenou,Male,301,41.407613151742986,2.2012214191471715,41.41112317574039,2.2026296597676445,570,52.81
26,Sant Andreu,2015,9,Sant Andreu,Female,702,41.43505454638585,2.1933091722750544,41.436938420308536,2.1902329330593058,1408,49.86
27,Sant Andreu,2015,9,Sant Andreu,Male,706,41.43505454638585,2.1933091722750544,41.436938420308536,2.1902329330593058,1408,50.14
28,Eixample,2015,2,Sant Antoni,Female,645,41.39162181574575,2.1644883081819466,41.37851257064619,2.159341487853878,1371,47.05
29,Eixample,2015,2,Sant Antoni,Male,726,41.39162181574575,2.1644883081819466,41.37851257064619,2.159341487853878,1371,52.95
30,Horta-Guinardó,2015,7,Sant Genís dels Agudells,Female,123,41.42913982673942,2.150530914702001,41.425455440358206,2.130116581244354,240,51.25
31,Horta-Guinardó,2015,7,Sant Genís dels Agudells,Male,117,41.42913982673942,2.150530914702001,41.425455440358206,2.130116581244354,240,48.75
32,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - Galvany,Female,721,41.412773594643824,2.106121049753216,41.39745161788423,2.1430104123588483,1307,55.16
33,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - Galvany,Male,586,41.412773594643824,2.106121049753216,41.39745161788423,2.1430104123588483,1307,44.84
34,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - la Bonanova,Female,407,41.412773594643824,2.106121049753216,41.409801295218585,2.1301825460017407,773,52.65
35,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - la Bonanova,Male,366,41.412773594643824,2.106121049753216,41.409801295218585,2.1301825460017407,773,47.35
36,Sant Martí,2015,10,Sant Martí de Provençals,Female,363,41.407613151742986,2.2012214191471715,41.41686188607197,2.1980064426553256,698,52.01
37,Sant Martí,2015,10,Sant Martí de Provençals,Male,335,41.407613151742986,2.2012214191471715,41.41686188607197,2.1980064426553256,698,47.99
38,Ciutat Vella,2015,1,"Sant Pere, Santa Caterina i la Ribera",Female,520,41.38084295838007,2.181049163164951,41.38679469587465,2.1834306190041723,1084,47.97
39,Ciutat Vella,2015,1,"Sant Pere, Santa Caterina i la Ribera",Male,564,41.38084295838007,2.181049163164951,41.38679469587465,2.1834306190041723,1084,52.03
40,Sants-Montjuïc,2015,3,Sants,Female,896,41.34994863691585,2.1449328518852444,41.377464761115434,2.136349314597411,1814,49.39
41,Sants-Montjuïc,2015,3,Sants,Male,918,41.34994863691585,2.1449328518852444,41.377464761115434,2.136349314597411,1814,50.61
42,Sants-Montjuïc,2015,3,Sants - Badal,Female,569,41.34994863691585,2.1449328518852444,41.374648571568606,2.127722311736889,1137,50.04
43,Sants-Montjuïc,2015,3,Sants - Badal,Male,568,41.34994863691585,2.1449328518852444,41.374648571568606,2.127722311736889,1137,49.96
44,Sarrià-Sant Gervasi,2015,5,Sarrià,Female,368,41.412773594643824,2.106121049753216,41.40263975792741,2.1161752205051303,717,51.32
45,Sarrià-Sant Gervasi,2015,5,Sarrià,Male,349,41.412773594643824,2.106121049753216,41.40263975792741,2.1161752205051303,717,48.68
46,Nou Barris,2015,8,Torre Baró,Female,43,41.44624399686965,2.175060174739923,41.45478246035708,2.1740652292036216,90,47.78
47,Nou Barris,2015,8,Torre Baró,Male,47,41.44624399686965,2.175060174739923,41.45478246035708,2.1740652292036216,90,52.22
