,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
0,Ciutat Vella,2015,1,1,el Raval,0-4,112
1,Ciutat Vella,2015,1,2,el Barri Gòtic,0-4,28
2,Ciutat Vella,2015,1,3,la Barceloneta,0-4,21
3,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",0-4,35
4,Eixample,2015,2,5,el Fort Pienc,0-4,62
5,Eixample,2015,2,6,la Sagrada Família,0-4,80
6,Eixample,2015,2,7,la Dreta de l'Eixample,0-4,75
7,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,0-4,47
8,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,0-4,96
9,Eixample,2015,2,10,Sant Antoni,0-4,58
10,Sants-Montjuïc,2015,3,11,el Poble Sec,0-4,94
11,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,0-4,5
12,Sants-Montjuïc,2015,3,13,la Marina de Port,0-4,72
13,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,0-4,29
14,Sants-Montjuïc,2015,3,15,Hostafrancs,0-4,29
15,Sants-Montjuïc,2015,3,16,la Bordeta,0-4,42
16,Sants-Montjuïc,2015,3,17,Sants - Badal,0-4,58
17,Sants-Montjuïc,2015,3,18,Sants,0-4,92
18,Les Corts,2015,4,19,les Corts,0-4,79
19,Les Corts,2015,4,20,la Maternitat i Sant Ramon,0-4,51
20,Les Corts,2015,4,21,Pedralbes,0-4,18
21,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",0-4,16
22,Sarrià-Sant Gervasi,2015,5,23,Sarrià,0-4,50
23,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,0-4,22
24,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,0-4,34
25,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,0-4,77
26,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,0-4,50
27,Gràcia,2015,6,28,Vallcarca i els Penitents,0-4,29
28,Gràcia,2015,6,29,el Coll,0-4,18
29,Gràcia,2015,6,30,la Salut,0-4,21
30,Gràcia,2015,6,31,la Vila de Gràcia,0-4,66
31,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,0-4,52
32,Horta-Guinardó,2015,7,33,el Baix Guinardó,0-4,40
33,Horta-Guinardó,2015,7,34,Can Baró,0-4,11
34,Horta-Guinardó,2015,7,35,el Guinardó,0-4,61
35,Horta-Guinardó,2015,7,36,la Font d'en Fargues,0-4,5
36,Horta-Guinardó,2015,7,37,el Carmel,0-4,56
37,Horta-Guinardó,2015,7,38,la Teixonera,0-4,18
38,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,0-4,6
39,Horta-Guinardó,2015,7,40,Montbau,0-4,5
40,Horta-Guinardó,2015,7,41,la Vall d'Hebron,0-4,4
41,Horta-Guinardó,2015,7,42,la Clota,0-4,0
42,Horta-Guinardó,2015,7,43,Horta,0-4,25
43,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,0-4,32
44,Nou Barris,2015,8,45,Porta,0-4,31
45,Nou Barris,2015,8,46,el Turó de la Peira,0-4,32
46,Nou Barris,2015,8,47,Can Peguera,0-4,1
47,Nou Barris,2015,8,48,la Guineueta,0-4,32
48,Nou Barris,2015,8,49,Canyelles,0-4,13
49,Nou Barris,2015,8,50,les Roquetes,0-4,37
50,Nou Barris,2015,8,51,Verdun,0-4,18
51,Nou Barris,2015,8,52,la Prosperitat,0-4,28
52,Nou Barris,2015,8,53,la Trinitat Nova,0-4,17
53,Nou Barris,2015,8,54,Torre Baró,0-4,5
54,Nou Barris,2015,8,55,Ciutat Meridiana,0-4,27
55,Nou Barris,2015,8,56,Vallbona,0-4,2
56,Sant Andreu,2015,9,57,la Trinitat Vella,0-4,30
57,Sant Andreu,2015,9,58,Baró de Viver,0-4,4
58,Sant Andreu,2015,9,59,el Bon Pastor,0-4,27
59,Sant Andreu,2015,9,60,Sant Andreu,0-4,90
60,Sant Andreu,2015,9,61,la Sagrera,0-4,38
61,Sant Andreu,2015,9,62,el Congrés i els Indians,0-4,19
62,Sant Andreu,2015,9,63,Navas,0-4,42
63,Sant Martí,2015,10,64,el Camp de l'Arpa del Clot,0-4,75
64,Sant Martí,2015,10,65,el Clot,0-4,32
65,Sant Martí,2015,10,66,el Parc i la Llacuna del Poblenou,0-4,24
66,Sant Martí,2015,10,67,la Vila Olímpica del Poblenou,0-4,20
67,Sant Martí,2015,10,68,el Poblenou,0-4,69
68,Sant Martí,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,0-4,42
69,Sant Martí,2015,10,70,el Besòs i el Maresme,0-4,83
70,Sant Martí,2015,10,71,Provençals del Poblenou,0-4,29
71,Sant Martí,2015,10,72,Sant Martí de Provençals,0-4,27
72,Sant Martí,2015,10,73,la Verneda i la Pau,0-4,55
73,Ciutat Vella,2015,1,1,el Raval,5-9,100
74,Ciutat Vella,2015,1,2,el Barri Gòtic,5-9,25
75,Ciutat Vella,2015,1,3,la Barceloneta,5-9,17
76,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",5-9,38
77,Eixample,2015,2,5,el Fort Pienc,5-9,39
78,Eixample,2015,2,6,la Sagrada Família,5-9,44
79,Eixample,2015,2,7,la Dreta de l'Eixample,5-9,47
80,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,5-9,38
81,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,5-9,61
82,Eixample,2015,2,10,Sant Antoni,5-9,45
83,Sants-Montjuïc,2015,3,11,el Poble Sec,5-9,59
84,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,5-9,1
85,Sants-Montjuïc,2015,3,13,la Marina de Port,5-9,51
86,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,5-9,22
87,Sants-Montjuïc,2015,3,15,Hostafrancs,5-9,21
88,Sants-Montjuïc,2015,3,16,la Bordeta,5-9,28
89,Sants-Montjuïc,2015,3,17,Sants - Badal,5-9,41
90,Sants-Montjuïc,2015,3,18,Sants,5-9,70
91,Les Corts,2015,4,19,les Corts,5-9,53
92,Les Corts,2015,4,20,la Maternitat i Sant Ramon,5-9,34
93,Les Corts,2015,4,21,Pedralbes,5-9,19
94,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",5-9,14
95,Sarrià-Sant Gervasi,2015,5,23,Sarrià,5-9,41
96,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,5-9,30
97,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,5-9,29
98,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,5-9,68
99,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,5-9,28
100,Gràcia,2015,6,28,Vallcarca i els Penitents,5-9,11
101,Gràcia,2015,6,29,el Coll,5-9,13
102,Gràcia,2015,6,30,la Salut,5-9,16
103,Gràcia,2015,6,31,la Vila de Gràcia,5-9,40
104,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,5-9,41
105,Horta-Guinardó,2015,7,33,el Baix Guinardó,5-9,23
