neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
el Raval,2015,1,Ciutat Vella,1,Andalucía,83
el Barri Gòtic,2015,1,Ciutat Vella,2,Andalucía,27
la Barceloneta,2015,1,Ciutat Vella,3,Andalucía,19
"Sant Pere, Santa Caterina i la Ribera",2015,1,Ciutat Vella,4,Andalucía,47
el Fort Pienc,2015,2,Eixample,5,Andalucía,33
la Sagrada Família,2015,2,Eixample,6,Andalucía,45
la Dreta de l'Eixample,2015,2,Eixample,7,Andalucía,50
l'Antiga Esquerra de l'Eixample,2015,2,Eixample,8,Andalucía,43
la Nova Esquerra de l'Eixample,2015,2,Eixample,9,Andalucía,45
Sant Antoni,2015,2,Eixample,10,Andalucía,41
el Poble Sec,2015,3,Sants-Montjuïc,11,Andalucía,58
la Marina del Prat Vermell,2015,3,Sants-Montjuïc,12,Andalucía,2
la Marina de Port,2015,3,Sants-Montjuïc,13,Andalucía,40
la Font de la Guatlla,2015,3,Sants-Montjuïc,14,Andalucía,18
Hostafrancs,2015,3,Sants-Montjuïc,15,Andalucía,23
la Bordeta,2015,3,Sants-Montjuïc,16,Andalucía,23
Sants - Badal,2015,3,Sants-Montjuïc,17,Andalucía,37
Sants,2015,3,Sants-Montjuïc,18,Andalucía,51
les Corts,2015,4,Les Corts,19,Andalucía,50
la Maternitat i Sant Ramon,2015,4,Les Corts,20,Andalucía,27
Pedralbes,2015,4,Les Corts,21,Andalucía,15
"Vallvidrera, el Tibidabo i les Planes",2015,5,Sarrià-Sant Gervasi,22,Andalucía,12
Sarrià,2015,5,Sarrià-Sant Gervasi,23,Andalucía,14
les Tres Torres,2015,5,Sarrià-Sant Gervasi,24,Andalucía,4
Sant Gervasi - la Bonanova,2015,5,Sarrià-Sant Gervasi,25,Andalucía,20
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Andalucía,31
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Andalucía,18
Vallcarca i els Penitents,2015,6,Gràcia,28,Andalucía,9
el Coll,2015,6,Gràcia,29,Andalucía,6
la Salut,2015,6,Gràcia,30,Andalucía,7
la Vila de Gràcia,2015,6,Gràcia,31,Andalucía,50
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Andalucía,21
el Baix Guinardó,2015,7,Horta-Guinardó,33,Andalucía,22
Can Baró,2015,7,Horta-Guinardó,34,Andalucía,15
el Guinardó,2015,7,Horta-Guinardó,35,Andalucía,24
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Andalucía,5
el Carmel,2015,7,Horta-Guinardó,37,Andalucía,45
la Teixonera,2015,7,Horta-Guinardó,38,Andalucía,11
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Andalucía,11
Montbau,2015,7,Horta-Guinardó,40,Andalucía,2
la Vall d'Hebron,2015,7,Horta-Guinardó,41,Andalucía,14
la Clota,2015,7,Horta-Guinardó,42,Andalucía,3
Horta,2015,7,Horta-Guinardó,43,Andalucía,20
Vilapicina i la Torre Llobeta,2015,8,Nou Barris,44,Andalucía,24
Porta,2015,8,Nou Barris,45,Andalucía,18
el Turó de la Peira,2015,8,Nou Barris,46,Andalucía,8
