index,districtName,year,districtCode,neighborhoodName,sex,count
0,Ciutat Vella,2015,1,el Raval,Male,1541
1,Ciutat Vella,2015,1,el Barri Gòtic,Male,435
2,Ciutat Vella,2015,1,la Barceloneta,Male,326
3,Ciutat Vella,2015,1,"Sant Pere, Santa Caterina i la Ribera",Male,564
4,Eixample,2015,2,el Fort Pienc,Male,519
5,Eixample,2015,2,la Sagrada Família,Male,817
6,Eixample,2015,2,la Dreta de l'Eixample,Male,673
7,Eixample,2015,2,l'Antiga Esquerra de l'Eixample,Male,675
8,Eixample,2015,2,la Nova Esquerra de l'Eixample,Male,941
9,Eixample,2015,2,Sant Antoni,Male,726
10,Sants-Montjuïc,2015,3,el Poble Sec,Male,968
11,Sants-Montjuïc,2015,3,la Marina del Prat Vermell,Male,19
12,Sants-Montjuïc,2015,3,la Marina de Port,Male,546
13,Sants-Montjuïc,2015,3,la Font de la Guatlla,Male,209
14,Sants-Montjuïc,2015,3,Hostafrancs,Male,356
15,Sants-Montjuïc,2015,3,la Bordeta,Male,366
16,Sants-Montjuïc,2015,3,Sants - Badal,Male,568
17,Sants-Montjuïc,2015,3,Sants,Male,918
18,Les Corts,2015,4,les Corts,Male,675
19,Les Corts,2015,4,la Maternitat i Sant Ramon,Male,400
20,Les Corts,2015,4,Pedralbes,Male,208
21,Sarrià-Sant Gervasi,2015,5,"Vallvidrera, el Tibidabo i les Planes",Male,88
22,Sarrià-Sant Gervasi,2015,5,Sarrià,Male,349
23,Sarrià-Sant Gervasi,2015,5,les Tres Torres,Male,191
24,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - la Bonanova,Male,366
25,Sarrià-Sant Gervasi,2015,5,Sant Gervasi - Galvany,Male,586
26,Sarrià-Sant Gervasi,2015,5,el Putxet i el Farró,Male,408
27,Gràcia,2015,6,Vallcarca i els Penitents,Male,220
28,Gràcia,2015,6,el Coll,Male,119
29,Gràcia,2015,6,la Salut,Male,167
30,Gràcia,2015,6,la Vila de Gràcia,Male,782
31,Gràcia,2015,6,el Camp d'en Grassot i Gràcia Nova,Male,464
32,Horta-Guinardó,2015,7,el Baix Guinardó,Male,367
33,Horta-Guinardó,2015,7,Can Baró,Male,128
34,Horta-Guinardó,2015,7,el Guinardó,Male,487
35,Horta-Guinardó,2015,7,la Font d'en Fargues,Male,91
