communityName,row,col,x,y
Andalucía,4,3,-4.57355872346192,37.463741922669485
Aragón,2,5,-0.660272972026993,41.5198329854499
Cantabria,1,3,-4.03324347789341,43.19706513825954
Castilla y León,2,3,-4.788377069493125,41.75129389014103
Castilla-La Mancha,3,4,-3.004495040268286,39.58122106774392
Cataluña,2,6,1.528609951242405,41.79828913306107
Ceuta y Melilla,6,3,-5.345323350879052,35.8942966526746
Comunidad de Madrid,3,3,-3.715759531389524,40.49486124173761
Comunidad Foral de Navarra,1,5,-1.6474489223845723,42.667501121941974
Comunidad Valenciana,3,5,-0.5431349568991902,39.39064764599249
Extremadura,3,2,-6.150361275023455,39.19157350674185
Galicia,1,1,-7.910843032165464,42.75766144492535
Islas Baleares,4,7,2.9571753610366884,39.61359371030747
La Rioja,2,4,-2.517326777797562,42.2747394043713
País Vasco,1,4,-2.6178920587612353,43.005127182123005
Principado de Asturias,1,2,-5.993239958136537,43.29251987287704
Región de Murcia,4,4,-1.4854830011940905,38.002193012904186
