neighborhoodName,count
Baró de Viver,613
Can Baró,2540
Can Peguera,297
Canyelles,881
Ciutat Meridiana,4129
Diagonal Mar i el Front Marítim del Poblenou,3993
Horta,7551
Hostafrancs,6903
Montbau,1557
Navas,5733
Pedralbes,4127
Porta,9041
Provençals del Poblenou,5552
Sant Andreu,11114
Sant Antoni,14429
Sant Genís dels Agudells,2199
Sant Gervasi - Galvany,13324
Sant Gervasi - la Bonanova,7238
Sant Martí de Provençals,6195
"Sant Pere, Santa Caterina i la Ribera",15590
Sants,17651
Sants - Badal,9228
Sarrià,6829
Torre Baró,730
Vallbona,400
Vallcarca i els Penitents,4293
"Vallvidrera, el Tibidabo i les Planes",1017
Verdun,3864
Vilapicina i la Torre Llobeta,6406
el Baix Guinardó,7174
el Barri Gòtic,18036
el Besòs i el Maresme,11898
el Bon Pastor,4250
el Camp d'en Grassot i Gràcia Nova,10517
el Camp de l'Arpa del Clot,12728
el Carmel,8255
el Clot,7510
el Coll,2227
el Congrés i els Indians,3701
el Fort Pienc,13595
el Guinardó,10207
el Parc i la Llacuna del Poblenou,5407
el Poble-sec,17883
el Poblenou,9984
el Putxet i el Farró,8530
el Raval,31371
el Turó de la Peira,4946
l'Antiga Esquerra de l'Eixample,19544
la Barceloneta,9792
la Bordeta,5743
la Clota,180
la Dreta de l'Eixample,19035
la Font d'en Fargues,1508
la Font de la Guatlla,3962
la Guineueta,2744
la Marina de Port,8666
la Marina del Prat Vermell,272
la Maternitat i Sant Ramon,7890
la Nova Esquerra de l'Eixample,22226
la Prosperitat,6882
la Sagrada Família,20727
la Sagrera,7590
la Salut,3771
la Teixonera,3206
la Trinitat Nova,2550
la Trinitat Vella,3838
la Vall d'Hebron,1190
la Verneda i la Pau,6576
la Vila Olímpica del Poblenou,2485
la Vila de Gràcia,20143
les Corts,13041
les Roquetes,5354
les Tres Torres,3933
