,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent,density
0,Sant Andreu,2015,09,Baró de Viver,Female,49,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,110,44.55,114
1,Sant Andreu,2015,09,Baró de Viver,Male,61,41.43505454638585,2.1933091722750544,41.44581467347341,2.19899775842406,110,55.45,114
2,Horta-Guinardó,2015,07,Can Baró,Female,197,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,402,49.0,243
3,Horta-Guinardó,2015,07,Can Baró,Male,205,41.42913982673942,2.150530914702001,41.4167603624773,2.162386553967649,402,51.0,243
4,Nou Barris,2015,08,Can Peguera,Female,24,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,41,58.54,192
5,Nou Barris,2015,08,Can Peguera,Male,17,41.44624399686965,2.175060174739923,41.43484212038238,2.1664501320817235,41,41.46,192
6,Nou Barris,2015,08,Canyelles,Female,85,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,162,52.47,87
7,Nou Barris,2015,08,Canyelles,Male,77,41.44624399686965,2.175060174739923,41.445032990983854,2.1634504252403164,162,47.53,87
8,Nou Barris,2015,08,Ciutat Meridiana,Female,297,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,600,49.5,294
9,Nou Barris,2015,08,Ciutat Meridiana,Male,303,41.44624399686965,2.175060174739923,41.46120773644666,2.1748476502321963,600,50.5,294
10,Sant Martí,2015,10,Diagonal Mar i el Front Marítim del Poblenou,Female,325,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,673,48.29,110
11,Sant Martí,2015,10,Diagonal Mar i el Front Marítim del Poblenou,Male,348,41.407613151742986,2.2012214191471715,41.40527626723875,2.212946160220975,673,51.71,110
12,Horta-Guinardó,2015,07,Horta,Female,507,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,988,51.32,92
13,Horta-Guinardó,2015,07,Horta,Male,481,41.42913982673942,2.150530914702001,41.43989049703453,2.1519300593582518,988,48.68,92
14,Sants-Montjuïc,2015,03,Hostafrancs,Female,569,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,1174,48.47,395
15,Sants-Montjuïc,2015,03,Hostafrancs,Male,605,41.34994863691585,2.1449328518852444,41.37530520232274,2.1442551338978157,1174,51.53,395
16,Horta-Guinardó,2015,07,Montbau,Female,110,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,222,49.55,25
17,Horta-Guinardó,2015,07,Montbau,Male,112,41.42913982673942,2.150530914702001,41.43526655486181,2.1377609714464327,222,50.45,25
18,Sant Andreu,2015,09,Navas,Female,462,41.43505454638585,2.1933091722750544,41.418000357719286,2.18594837935314,932,49.57,529
