districtName,5YearAge,year,districtCode,neighborhoodCode,neighborhoodName,count
Ciutat Vella,0-4,2015,1,1,el Raval,165
Ciutat Vella,0-4,2015,1,2,el Barri Gòtic,49
Ciutat Vella,0-4,2015,1,3,la Barceloneta,36
Ciutat Vella,0-4,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",64
Eixample,0-4,2015,2,5,el Fort Pienc,78
Eixample,0-4,2015,2,6,la Sagrada Família,101
Eixample,0-4,2015,2,7,la Dreta de l'Eixample,94
Eixample,0-4,2015,2,8,l'Antiga Esquerra de l'Eixample,73
Eixample,0-4,2015,2,9,la Nova Esquerra de l'Eixample,111
Eixample,0-4,2015,2,10,Sant Antoni,68
Sants-Montjuïc,0-4,2015,3,11,el Poble Sec,81
Sants-Montjuïc,0-4,2015,3,12,la Marina del Prat Vermell,6
Sants-Montjuïc,0-4,2015,3,13,la Marina de Port,64
Sants-Montjuïc,0-4,2015,3,14,la Font de la Guatlla,33
Sants-Montjuïc,0-4,2015,3,15,Hostafrancs,36
Sants-Montjuïc,0-4,2015,3,16,la Bordeta,46
Sants-Montjuïc,0-4,2015,3,17,Sants - Badal,39
Sants-Montjuïc,0-4,2015,3,18,Sants,79
Les Corts,0-4,2015,4,19,les Corts,113
Les Corts,0-4,2015,4,20,la Maternitat i Sant Ramon,84
Les Corts,0-4,2015,4,21,Pedralbes,53
Sarrià-Sant Gervasi,0-4,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",20
Sarrià-Sant Gervasi,0-4,2015,5,23,Sarrià,81
Sarrià-Sant Gervasi,0-4,2015,5,24,les Tres Torres,51
Sarrià-Sant Gervasi,0-4,2015,5,25,Sant Gervasi - la Bonanova,72
Sarrià-Sant Gervasi,0-4,2015,5,26,Sant Gervasi - Galvany,96
Sarrià-Sant Gervasi,0-4,2015,5,27,el Putxet i el Farró,67
Gràcia,0-4,2015,6,28,Vallcarca i els Penitents,25
Gràcia,0-4,2015,6,29,el Coll,21
Gràcia,0-4,2015,6,30,la Salut,21
Gràcia,0-4,2015,6,31,la Vila de Gràcia,93
Gràcia,0-4,2015,6,32,el Camp d'en Grassot i Gràcia Nova,53
Horta-Guinardó,0-4,2015,7,33,el Baix Guinardó,46
Horta-Guinardó,0-4,2015,7,34,Can Baró,10
Horta-Guinardó,0-4,2015,7,35,el Guinardó,55
Horta-Guinardó,0-4,2015,7,36,la Font d'en Fargues,14
Horta-Guinardó,0-4,2015,7,37,el Carmel,55
Horta-Guinardó,0-4,2015,7,38,la Teixonera,24
Horta-Guinardó,0-4,2015,7,39,Sant Genís dels Agudells,12
Horta-Guinardó,0-4,2015,7,40,Montbau,10
Horta-Guinardó,0-4,2015,7,41,la Vall d'Hebron,10
Horta-Guinardó,0-4,2015,7,42,la Clota,2
Horta-Guinardó,0-4,2015,7,43,Horta,42
Nou Barris,0-4,2015,8,44,Vilapicina i la Torre Llobeta,40
Nou Barris,0-4,2015,8,45,Porta,40
Nou Barris,0-4,2015,8,46,el Turó de la Peira,31
Nou Barris,0-4,2015,8,47,Can Peguera,2
Nou Barris,0-4,2015,8,48,la Guineueta,19
Nou Barris,0-4,2015,8,49,Canyelles,11
Nou Barris,0-4,2015,8,50,les Roquetes,36
Nou Barris,0-4,2015,8,51,Verdun,22
Nou Barris,0-4,2015,8,52,la Prosperitat,53
Nou Barris,0-4,2015,8,53,la Trinitat Nova,25
Nou Barris,0-4,2015,8,54,Torre Baró,15
Nou Barris,0-4,2015,8,55,Ciutat Meridiana,26
Nou Barris,0-4,2015,8,56,Vallbona,8
Sant Andreu,0-4,2015,9,57,la Trinitat Vella,39
Sant Andreu,0-4,2015,9,58,Baró de Viver,15
Sant Andreu,0-4,2015,9,59,el Bon Pastor,36
Sant Andreu,0-4,2015,9,60,Sant Andreu,84
Sant Andreu,0-4,2015,9,61,la Sagrera,46
Sant Andreu,0-4,2015,9,62,el Congrés i els Indians,27
Sant Andreu,0-4,2015,9,63,Navas,51
Sant Martí,0-4,2015,10,64,el Camp de l'Arpa del Clot,69
Sant Martí,0-4,2015,10,65,el Clot,45
Sant Martí,0-4,2015,10,66,el Parc i la Llacuna del Poblenou,30
Sant Martí,0-4,2015,10,67,la Vila Olímpica del Poblenou,41
Sant Martí,0-4,2015,10,68,el Poblenou,88
Sant Martí,0-4,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,61
Sant Martí,0-4,2015,10,70,el Besòs i el Maresme,101
Sant Martí,0-4,2015,10,71,Provençals del Poblenou,52
Sant Martí,0-4,2015,10,72,Sant Martí de Provençals,41
Sant Martí,0-4,2015,10,73,la Verneda i la Pau,51
Ciutat Vella,5-9,2015,1,1,el Raval,149
Ciutat Vella,5-9,2015,1,2,el Barri Gòtic,35
Ciutat Vella,5-9,2015,1,3,la Barceloneta,15
Ciutat Vella,5-9,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",41
Eixample,5-9,2015,2,5,el Fort Pienc,56
Eixample,5-9,2015,2,6,la Sagrada Família,62
Eixample,5-9,2015,2,7,la Dreta de l'Eixample,67
Eixample,5-9,2015,2,8,l'Antiga Esquerra de l'Eixample,68
Eixample,5-9,2015,2,9,la Nova Esquerra de l'Eixample,75
Eixample,5-9,2015,2,10,Sant Antoni,57
Sants-Montjuïc,5-9,2015,3,11,el Poble Sec,66
Sants-Montjuïc,5-9,2015,3,12,la Marina del Prat Vermell,5
Sants-Montjuïc,5-9,2015,3,13,la Marina de Port,52
Sants-Montjuïc,5-9,2015,3,14,la Font de la Guatlla,15
Sants-Montjuïc,5-9,2015,3,15,Hostafrancs,34
Sants-Montjuïc,5-9,2015,3,16,la Bordeta,32
Sants-Montjuïc,5-9,2015,3,17,Sants - Badal,46
Sants-Montjuïc,5-9,2015,3,18,Sants,76
Les Corts,5-9,2015,4,19,les Corts,62
Les Corts,5-9,2015,4,20,la Maternitat i Sant Ramon,34
Les Corts,5-9,2015,4,21,Pedralbes,62
Sarrià-Sant Gervasi,5-9,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",14
Sarrià-Sant Gervasi,5-9,2015,5,23,Sarrià,70
Sarrià-Sant Gervasi,5-9,2015,5,24,les Tres Torres,47
Sarrià-Sant Gervasi,5-9,2015,5,25,Sant Gervasi - la Bonanova,51
Sarrià-Sant Gervasi,5-9,2015,5,26,Sant Gervasi - Galvany,101
Sarrià-Sant Gervasi,5-9,2015,5,27,el Putxet i el Farró,49
Gràcia,5-9,2015,6,28,Vallcarca i els Penitents,20
Gràcia,5-9,2015,6,29,el Coll,16
Gràcia,5-9,2015,6,30,la Salut,7
Gràcia,5-9,2015,6,31,la Vila de Gràcia,76
