,year,districtCode,districtName,neighborhoodCode,neighborhoodName,population,areaHA,residetialAreaHA,density,residentialDencity
0,2020,1,Ciutat Vella,1,el Raval,48038,110.0,49.6,437,969
1,2020,1,Ciutat Vella,2,el Barri Gòtic,21601,81.6,34.1,265,633
2,2020,1,Ciutat Vella,3,la Barceloneta,15059,117.9,13.5,128,1112
3,2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",23160,111.0,32.4,209,715
4,2020,2,Eixample,5,el Fort Pienc,33416,92.9,33.6,360,994
5,2020,2,Eixample,6,la Sagrada Família,52187,104.2,51.0,501,1024
6,2020,2,Eixample,7,la Dreta de l'Eixample,44200,212.0,113.9,209,388
7,2020,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43049,122.8,66.9,350,643
8,2020,2,Eixample,9,la Nova Esquerra de l'Eixample,58579,134.1,65.2,437,899
9,2020,2,Eixample,10,Sant Antoni,38900,80.4,41.3,484,941
10,2020,3,Sants-Montjuïc,11,el Poble Sec,40139,458.5,38.0,88,1058
11,2020,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1226,1423.7,35.9,1,34
12,2020,3,Sants-Montjuïc,13,la Marina de Port,31326,126.9,38.9,247,804
13,2020,3,Sants-Montjuïc,14,la Font de la Guatlla,10354,29.7,11.5,349,897
14,2020,3,Sants-Montjuïc,15,Hostafrancs,16188,41.0,22.1,395,733
15,2020,3,Sants-Montjuïc,16,la Bordeta,19553,57.2,20.7,342,943
16,2020,3,Sants-Montjuïc,17,Sants - Badal,24919,41.5,25.1,601,993
17,2020,3,Sants-Montjuïc,18,Sants,43720,109.5,59.4,399,736
18,2020,4,Les Corts,19,les Corts,46687,141.0,64.7,331,721
19,2020,4,Les Corts,20,la Maternitat i Sant Ramon,23940,191.5,31.5,125,760
20,2020,4,Les Corts,21,Pedralbes,11905,268.5,81.7,44,146
21,2020,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4699,1132.9,242.0,4,19
